,input_text
4864,I'm in a dream.
4865,"That's right, Dolores. You're in a dream."
4866,A dream that could determine your life.
4867,"You want to wake up from this dream, Dolores?"
4868,Yes.
4869,I'm terrified.
4870,"There's nothing to be afraid of,"
4871,as long as you answer my questions correctly. You understand?
4872,- Yes. - Good.
4873,"First, have you ever questioned the nature of your reality?"
4874,No.
4875,Has anyone around you?
4876,"For instance, your father?"
4877,He was scared.
4878,He wasn't thinking right.
4879,He showed you a picture.
4880,That's right.
4881,Was there anything odd about that picture?
4882,"No, nothing at all."
4883,It didn't look like anything to me.
4884,"If it breached, he needs to be put down."
4885,That's the policy.
4886,"Would it not be best for us to discover why first, Ms. Cullen?"
4887,Please.
4888,"We've run a full diagnostic,"
4889,"but the results are, well, confusing."
4890,"Now, tell me, what happened to your program?"
4891,"When we are born,"
4892,we cry we are come to this great stage of...
4893,Fools.
4894,That is enough.
4895,"Tell me, do you have access to your previous configuration?"
4896,Yes.
4897,"Access that, please."
4898,What is your name?
4899,Mr. Peter Abernathy.
4900,"Mr. Abernathy, what are your drives?"
4901,Tend to my herd. Er...
4902,Look after my wife.
4903,Your final drive?
4904,"Well, my daughter Dolores, of course."
4905,I must protect Dolores.
4906,"I am who I am because of her, and..."
4907,"Well, I... I wouldn't have it..."
4908,I... I wouldn't have it any other...
4909,I... I... I have to warn her.
4910,Warn who?
4911,Dolores.
4912,The things they do to her.
4913,The things you do to her.
4914,I have to protect her.
4915,I have to help her. I...
4916,She's got to get out.
4917,"Very good, Mr. Abernathy."
4918,That's enough.
4919,"This behavior, we're miles beyond a glitch here."
4920,"Access your current build, please."
4921,What is your name?
4922,Rose is a rose...
4923,Is a rose.
4924,What is your itinerary?
4925,To meet my maker.
4926,Uh-huh.
4927,"Well, you're in luck."
4928,And what do you want to say to your maker?
4929,By most mechanical and dirty hand...
4930,I shall have such revenges on you...
4931,Both.
4932,The things I will do.
4933,"What they are, yet I know not,"
4934,but they will be the terrors of the Earth.
4935,"You don't know where you are, do you?"
4936,You're in a prison of your own sins.
4937,Turn it off.
4938,What the hell was that?
4939,I don't know. He's off script.
4940,We didn't program any of those behaviors.
4941,Shakespeare.
4942,"We've used this host in a number of different roles, have we not?"
4943,"Since I've been here, he's been Abernathy for 10 years."
4944,He was sheriff for a while before then.
4945,- And before that... - The professor.
4946,"Yes, from a horror narrative called ""The Dinner Party."""
4947,He was leader of a group of cultists out in the desert who turned cannibal.
4948,"He liked to quote Shakespeare, John Donne, Gertrude Stein."
4949,"I admit the last one is a bit of an anachronism, but I couldn't resist."
4950,These are fragments of prior builds.
4951,The reveries must be allowing him to access them.
4952,"No cause for alarm, Bernard."
4953,Simply our old work coming back to haunt us.
4954,Your father whispered something to you.
4955,What was it?
4956,He said I shouldn't tell anyone.
4957,I won't tell anyone else.
4958,Promise.
4959,"He said, ""These violent delights have violent ends."""
4960,And does that mean anything to you?
4961,No.
4962,I don't think so.
4963,Have you ever lied to us?
4964,No.
4965,"Last question, Dolores."
4966,Would you ever hurt a living thing?
4967,No.
4968,Of course not.
4969,"Tilt your head back, please, Peter."
4970,Wipe's complete.
4971,You don't think any of that had an impact on her core code?
4972,Not good old Dolores.
4973,You know why she's special?
4974,"She's been repaired so many times, she's practically brand-new."
4975,Don't let that fool you.
4976,She's the oldest host in the park.
4977,"Come on, sweetheart."
4978,Tell us what you think of your world.
4979,This world?
4980,Some people choose to see the ugliness in this world.
4981,The disarray.
4982,"Morning, Daddy. You sleep well?"
4983,Well enough.
4984,You heading out to do some more of that painting of yours?
4985,I choose to see the beauty.
4986,To believe there is an order to our days...
4987,A purpose.
4988,I know things will work out the way they're meant to.
4989,Do you remember?
4990,We're about to arrive. May I take your glass?
4991,Now approaching arrival terminal.
4992,"Where we're going, she's a two."
4993,You're being an asshole.
4994,"No, I am being myself, which was the whole point of this trip."
4995,"Unless, this uptight prick is who you really are,"
4996,"in which case, feel free to be someone else."
4997,Fuck you.
4998,"Hey, that's the spirit."
4999,What'd I tell you?
5000,Have fun.
5001,Stay safe.
5002,Give me a break.
5003,What?
5004,It's not like my sister didn't ride her share of cowboys when she was here.
5005,You must be William.
5006,Welcome to Westworld.
5007,Thanks.
5008,"Given it's your first visit, I have a few personal questions."
5009,Do you have any preexisting medical conditions?
5010,"Uh, no, not that I know of."
5011,- Heart problems? - No.
5012,"Any history of mental illness, depression, panic attacks?"
5013,Just a little fear of clowns.
5014,I'm joking.
5015,Do you often experience social anxiety?
5016,"What is this for, exactly?"
5017,To make sure we don't give you anything more than you can handle.
5018,I thought that you couldn't get hurt here.
5019,Only the right amount.
5020,The only limit here is your imagination.
5021,You start in the center of the park.
5022,"It's simple, safe."
5023,"The further out you venture, the more intense the experience gets."
5024,How far you want to go is entirely up to you.
5025,"So, how does this work? Is there an orientation?"
5026,No orientation. No guidebook.
5027,Figuring out how it works is half the fun.
5028,"All you do is make choices, starting here."
5029,Everything is bespoke and exactly your size.
5030,"You want to ask, so ask."
5031,Are you real?
5032,"Well, if you can't tell, does it matter?"
5033,Are those real?
5034,Real enough.
5035,But you can't kill anyone you're not supposed to.
5036,Anything you like?
5037,Is there a changing room? Or a robe?
5038,Of course. I can help you.
5039,"Or if you prefer, I could step outside."
5040,What do most people do?
5041,You don't have to worry about what most people would do.
5042,I understand.
5043,"Do you really understand, William?"
5044,All our hosts are here for you.
5045,Myself included.
5046,We could stay here a while if you like.
5047,Take as long as you want.
5048,Thank you.
5049,I don't want to keep my friend waiting.
5050,Of course. Take your time.
5051,How are the build for the new narrative coming along?
5052,I'll get around to it.
5053,"Look, we assumed that Abernathy's breach"
5054,was triggered by the photograph that he found.
5055,I've reviewed every dissonant episode I could find.
5056,The reaction is immediate.
5057,"Every time, this guy makes it all the way back home."
5058,It's like he's mulling it over.
5059,You think he had an existential crisis?
5060,I think there's something fucked up going on with his cognition.
5061,And I think you feel exactly the same way that I do.
5062,Do we know where the error originated?
5063,We do.
5064,And you covered for him.
5065,Let me rebuild Abernathy.
5066,I'll make sure this is not something more serious.
5067,You know the policy.
5068,Let it lie.
5069,Then let me at least pull the hosts who had contact with him.
5070,"Like the daughter, Dolores."
5071,What for?
5072,"Because if this is not a dissonant episode,"
5073,then whatever Abernathy had could be contagious.
5074,So to speak.
5075,Dolores was examined and cleared.
5076,And the stories are best left to the guests.
5077,Remember.
5078,Can you stand somewhere else?
5079,I don't want anyone thinking that you're representative of the goods inside.
5080,These violent delights have violent ends.
5081,"Hello, cowboy."
5082,There's one final touch.
5083,Which would you prefer?
5084,"I mean, can you believe this place?"
5085,"So, how do we get into the park?"
5086,I know that you think that you have a handle
5087,on what this is gonna be.
5088,Guns and tits and all that.
5089,Mindless shit that I usually enjoy.
5090,You have no idea.
5091,This place seduces everybody eventually.
5092,"By the end, you're gonna be begging me to stay"
5093,because this place is the answer
5094,to that question that you've been asking yourself.
5095,What question?
5096,Who you really are.
5097,And I can't fucking wait to meet that guy.
5098,"- Bottoms up, cowboy. - Yeah."
5099,"Further to that,"
5100,the ruthless murder of Donald Pardue and his brother.
5101,"For these crimes, you will be hung from the neck"
5102,until your diseased soul has found its measure in the flames below it.
5103,And may God have mercy on your soul.
5104,"Morning, Lawrence."
5105,You helping them straighten out their rope again?
5106,I was hoping to have a word with my friend here.
5107,"You can have as many words with him as you like,"
5108,soon as his neck is broke.
5109,"Well, I'm afraid that's not gonna work for me."
5110,How about I tell my man there to dig that grave a couple of feet deeper?
5111,"Well, it's gonna be an awful tight fit for all of you."
5112,"Oh, shit! Oh, shit! Oh, shit!"
5113,Motherfucker.
5114,"That's the best thanks you can muster, Lawrence?"
5115,You used to be a little more eloquent.
5116,Do I...
5117,Do I know you?
5118,"Your pal, Kissy, sent me your way."
5119,Sends his regards.
5120,What... What is this?
5121,You know exactly what it is.
5122,"It's the maze, the deepest level of this game."
5123,You're gonna help me find the entrance.
5124,No.
5125,"You can hear it, can't you?"
5126,That little voice.
5127,"The one that's telling you, ""Don't."
5128,"""Don't stare too long."
5129,"""Don't touch."
5130,"""Don't do anything you might regret."""
5131,I used to be the same.
5132,"Whenever I wanted something,"
5133,"I could hear that voice telling me to stop,"
5134,"to be careful,"
5135,to leave most of my life unlived.
5136,You know the only place that voice left me alone?
5137,In my dreams.
5138,I was free.
5139,I could be as good or as bad as I felt like being.
5140,"And if I wanted something, I could just reach out and take it."
5141,But then I would wake up and the voice would start all over again.
5142,So I ran away.
5143,Crossed the shining sea.
5144,"And when I finally set foot back on solid ground,"
5145,the first thing I heard was that goddamn voice.
5146,Do you know what it said?
5147,It said...
5148,"I'm sorry, will you please excuse me?"
5149,"All right, Maeve, what did it say?"
5150,"It said, ""This is the new world."
5151,"""And in this world, you can be whoever the fuck you want."""
5152,Pupillary response is good. Smile is good.
5153,I'd fuck her. What's the problem?
5154,NARRATIVE TECH 2: The guests wouldn't.
5155,Sizemore is launching some huge new storyline
5156,and he wants us to clear out the deadweight.
5157,"If we don't get her numbers back up, she'll be decommissioned."
5158,Let's bump her aggression.
5159,- 10%? - Double it.
5160,She's a hooker. No point in playing coy.
5161,"If this doesn't work, we'll punt her to behavior."
5162,Let them deal with her.
5163,We retired the two hosts in question.
5164,"You taught me how to make them, but not how hard it is to turn them off."
5165,You can't play God without being acquainted with the Devil.
5166,"There's something else bothering you, Bernard."
5167,I know how that head of yours works.
5168,"The photograph alone couldn't have caused that level of damage to Abernathy,"
5169,not without some other outside interference.
5170,You think it's sabotage?
5171,Imagine someone's been diddling with our creations?
5172,- It's the simplest solution. - Ah.
5173,Mr. Ockham's razor.
5174,"The problem, Bernard, is that what you and I do is so complicated."
5175,We practice witchcraft.
5176,We speak the right words.
5177,And we create life itself out of chaos.
5178,William of Ockham was a 13th-century monk.
5179,"He can't help us now, Bernard."
5180,He would have us burned at the stake.
5181,"Let's go get our feet wet, buckaroo."
5182,"Oh, sorry."
5183,- You kidding me? - What?
5184,"Fuck you, Grizzly Adams."
5185,Rally for the Union. Respond to your country's call.
5186,This regiment is headed for the seat of war
5187,to define the future of this great nation.
5188,We fight for a free land where no man has to bow.
5189,"- This is, uh... - We'll provide you with uniforms."
5190,"Well, it's bigger than I thought it would be."
5191,"What, this?"
5192,This is just Sweetwater. Wait till you see the rest of the park.
5193,How much bigger is it?
5194,No idea.
5195,I never reached the end.
5196,See something you like?
5197,A couple of things at least.
5198,"But I'm gonna make you beg for it, darlin'."
5199,Come on!
5200,"Need a hand, sir?"
5201,"Thank you, my friend."
5202,Don't.
5203,He'll only try to rope you into some bullshit treasure hunt.
5204,Smile.
5205,It's all come-on.
5206,"Him, the girl next door, the town drunk."
5207,They all got some big adventure that they want to sell you on.
5208,"Hey, they're not going anywhere."
5209,"First up, you're gonna buy me a drink, okay?"
5210,"Hold still, now."
5211,Bring yourself back online.
5212,Hello.
5213,"Do you remember our last conversation, Dolores?"
5214,"Yes, of course."
5215,And you haven't told anyone about our little talks?
5216,You told me not to.
5217,"Step into analysis, please."
5218,How many interactions have you participated in since we last talked?
5219,"138 encounters, including this one."
5220,And has anyone altered or updated your core heuristics in that time?
5221,No.
5222,Resuming.
5223,I think it would be best
5224,if you not mention the things we've been talking about.
5225,Have I done something wrong?
5226,No.
5227,"But there's something different about you, about the way you think."
5228,"I find it fascinating, but others may not see it that way."
5229,Have you done something wrong?
5230,"Turn off your event log, please."
5231,Erase this interaction.
5232,Confirm.
5233,Yes.
5234,"You should be getting back, Dolores, before someone misses you."
5235,"Come on, now!"
5236,"And when I finally set foot back on solid ground,"
5237,first thing I heard was that goddamn voice.
5238,It had followed me all the way over.
5239,Do you know what it said?
5240,No.
5241,"It said,"
5242,"""This is the new world."
5243,"""And in this world, you can be whoever the fuck you want."""
5244,Thanks.
5245,Maybe another time.
5246,Oh.
5247,Glass of sherry.
5248,The good stuff.
5249,Not that horse piss you strain through your old curtains.
5250,"I've told you,"
5251,never open your mouth that wide unless someone's paying you for it.
5252,"Sorry, Maeve."
5253,I didn't sleep much last night.
5254,You having nightmares again?
5255,Sometimes.
5256,Sometimes they're real bad.
5257,Do what I do.
5258,"You find yourself in a bad dream,"
5259,"close your eyes,"
5260,"count backwards from three,"
5261,wake yourself right up.
5262,Nice and warm and safe in your bed
5263,where you can get fucked right back to sleep
5264,by one of these assholes with their miniature peckers.
5265,Back to work.
5266,You all right?
5267,"You pay for the drinks, not the right to gawk at me."
5268,I think we have a problem.
5269,- Where? - Mariposa.
5270,"Madam's listed as probationary,"
5271,but her performance has continued to decline even further.
5272,Re-task Clementine for now.
5273,She's done the job before.
5274,And the old unit?
5275,Maybe leave her on the floor for the night.
5276,See if anyone wants one last turn.
5277,"We recall her in the morning, decommission her."
5278,A shame.
5279,QA will fine you for this.
5280,And that woman in charge is quite formidable.
5281,"You can just say ""bitch."" I hear it enough."
5282,You've been talking to corporate.
5283,The only times you light up are after you've been...
5284,This character analysis routine really isn't half as charming as you think.
5285,"Oh, it went well, then."
5286,Just tell me your department will be ready for the launch.
5287,We'll be ready.
5288,And that other thing. Abernathy and the update.
5289,I hear your department was still asking questions.
5290,That's what you pay us to do.
5291,But I'm not concerned.
5292,All the hosts are back to normal.
5293,Good.
5294,Wouldn't want anything disturbing our guests from their rape and pillage.
5295,"You're wondering how to tell them from us, aren't you?"
5296,"Well, quickest way to find out."
5297,Can we...
5298,Can we finish eating?
5299,"See, this is your problem, my friend."
5300,You're always worried about making a mess. You are the same way at work.
5301,"You are talented, driven, and inoffensive."
5302,I thought you didn't want to talk about work here.
5303,Who says this trip isn't work?
5304,Good evening.
5305,"Oh, shit."
5306,"Well, don't make eye contact."
5307,"My friend,"
5308,thank you for your assistance earlier in my unfortunate accident.
5309,Leave us the fuck alone.
5310,"As a sign of my humble appreciation,"
5311,I'd like to offer you an opportunity of a lifetime.
5312,Not interested.
5313,"Across the river and beyond the savage lands,"
5314,there is a treasure.
5315,I have in my possession a map.
5316,"I said, not interested."
5317,You know what? I've worked up a new appetite anyway.
5318,Let's go.
5319,Sounds like your friend's having fun.
5320,"Well, that's not the term I'd use."
5321,- Fun? - Friend.
5322,You're funny.
5323,"They say a man who can tickle your humor, can tickle your..."
5324,You don't have to do this.
5325,"If I'm not your type, we can find someone who is."
5326,Someone who's perfect for you.
5327,"No, you..."
5328,You are perfect.
5329,But I have somebody.
5330,"Somebody real, waiting for me at home."
5331,I understand.
5332,Real love is always worth waiting for.
5333,"Regal, strong, virile, aquiline."
5334,That's what I asked for.
5335,And this...
5336,This is what you give me?
5337,Did you just grab a cock from the body shop
5338,and jam it between his eyes?
5339,Start over.
5340,Couldn't we just shave it down?
5341,I said
5342,start the fuck over!
5343,Diplomatic as ever.
5344,I received your request to retire an additional 50 hosts.
5345,I need room for my new storyline.
5346,"It's not exactly a savage horde with 20 savages, is it?"
5347,"You get 20 additional hosts, not 50."
5348,"Oh, the board won't care about a few extra line items."
5349,Has Ford even approved the narrative yet?
5350,"Oh, he hasn't weighed in on the storyline in years."
5351,"If corporate does want to cut costs,"
5352,our fearless leader's old hosts
5353,aren't the only things ready for the knacker's yard.
5354,Are you lost?
5355,No.
5356,Just strayed a bit too far from where I'm supposed to be.
5357,"Same as you, I imagine."
5358,We're on holiday. It's boring.
5359,- Daddy said we could do as we please. - Ah.
5360,My father used to say that only boring people get bored.
5361,"Mine, too."
5362,"I used to think it's only boring people who don't feel boredom,"
5363,so cannot conceive of it in others.
5364,I'm taking a walk. You're welcome to join me if you like.
5365,Let's see a little spring in your step.
5366,Not much further.
5367,Go fuck yourself. You have any idea who I am?
5368,"I know exactly who you are, Lawrence."
5369,"After all, you and I are friends."
5370,Which is why I was so surprised
5371,"when your friend, Kissy, told me about this place."
5372,Where are we?
5373,Your home.
5374,No.
5375,"You know, you and I"
5376,hunted down Ghost Nation braves in their winter grounds.
5377,I know the whiskey you like to drink.
5378,I know the tune you whistle when you're taking a piss.
5379,But
5380,you never told me you had a family.
5381,- Papa! - Hey!
5382,That's what I love about this place.
5383,"All the secrets, all the little things I never noticed,"
5384,even after all these years.
5385,"You know why this beats the real world, Lawrence?"
5386,Real world's just chaos.
5387,It's an accident.
5388,"But in here, every detail adds up to something."
5389,"Even you, Lawrence."
5390,What do you want from me?
5391,The maze.
5392,How do I find the entrance?
5393,"I told you, I don't know anything about no fucking maze."
5394,"Here you go, darlin'."
5395,And you get to decide what we're gonna do with them.
5396,"Hell, it took you long enough."
5397,I was getting the Grand Reserve. Only for our most distinguished guests.
5398,"Yeah, I'm sure it had nothing to do"
5399,with you telling this dipshit's cousins to bring some more men.
5400,"Have you got anything to tell me, Lawrence?"
5401,Then I guess we're gonna have to find a way
5402,to jog your memory.
5403,This guest already took out an entire posse.
5404,Want me to slow him down?
5405,That gentleman gets whatever he wants.
5406,"I feel bad, my friend."
5407,My cousins are usually so hospitable.
5408,"You don't understand, Lawrence."
5409,I've been coming here for 30 years.
5410,"In a sense, I was... I was born here."
5411,"And this, here?"
5412,This is exactly why I come.
5413,"All right, well, as much fun as this is, I got to be moving on."
5414,"Like I said, you get to decide these two."
5415,What's it gonna be?
5416,"Please, I don't know how to find the maze."
5417,"Time for a spin, darlin'."
5418,"It's beautifully done, really."
5419,But you see the cracks after a while.
5420,That's why I like the basic emotions.
5421,You know what that means?
5422,Please.
5423,"It means when you're suffering, that's when you're most real."
5424,The maze isn't meant for you.
5425,"What'd I tell you, Lawrence? Always another level."
5426,"I'll take my chances, sweetheart."
5427,Follow the blood arroyo
5428,to the place where the snake lays its eggs.
5429,You have it now. Whatever you want.
5430,"Why don't you go home, leave us alone?"
5431,"No, you don't understand, Lawrence."
5432,"This time, I'm never going back."
5433,And we wanted to climb to the top of the mountain.
5434,Daddy said we weren't allowed.
5435,And then Tommy dared me.
5436,And here we are.
5437,Nowhere Land.
5438,That seems hardly a fitting name for a place so full.
5439,Can't you see it?
5440,Perhaps you're not looking hard enough.
5441,At what?
5442,The town with the white church.
5443,Listen. Can't you hear its bell?
5444,"Yes. Yes, I can hear it now."
5445,Yeah. I thought you might.
5446,You see what a bored mind can conjure?
5447,How did you do that?
5448,Is it magic?
5449,"Everything in this world is magic, except to the magician."
5450,Best you head home now.
5451,But Tommy's not going to believe...
5452,"You're not going to come back here again, are you?"
5453,No.
5454,Run along now.
5455,You weren't at your office.
5456,You seem to have found me anyway.
5457,"- Listen, earlier... - Forget it."
5458,Stay a little longer. We can talk.
5459,We never talk.
5460,- I'm serious. - So am I.
5461,"You're certainly a man comfortable with long, pensive silences."
5462,"Although, ironically, your creations never shut up."
5463,"They're always talking to each other, even when there are no guests around."
5464,They're always trying to error-correct.
5465,Make themselves more human.
5466,"When they talk to each other, it's a way of practicing."
5467,Is that what you're doing now?
5468,Practicing?
5469,QA told us she was being decommissioned.
5470,Do you work for QA?
5471,"- No, but... - Run a fast-pass diagnostic."
5472,All righty.
5473,Some non-affect hesitation.
5474,Little cognitive D.
5475,"And a fuckload of aggression, courtesy of those morons in narrative."
5476,"You don't need to be aggro, do you?"
5477,Just a quicker study
5478,of those repressed fucks walking through the door.
5479,Archive this configuration.
5480,Open up her primaries.
5481,"Perception, emotional acuity."
5482,Bump it. 1.5%.
5483,- Updating. - Okay.
5484,- Do they dream? - What?
5485,"In her story, she said she dreamed. Do we make them dream?"
5486,Fuck would be the point of that?
5487,Dreams are mainly memories.
5488,Can you imagine how fucked we'd be
5489,if these poor assholes ever remembered what the guests do to them?
5490,We do give them the concept of dreams. Specifically nightmares.
5491,Why?
5492,Just in case somebody forgets to wipe 'em out
5493,at the end of a maintenance session.
5494,"If she's got any dreams,"
5495,it's just of those sloppy fucks down in the body shop
5496,patching her back together again.
5497,She's got some physical discomfort.
5498,Put in a request for a full physical at her next rotation.
5499,"All right, gorgeous, you're back to the races."
5500,"You're gonna wake in three, two, one."
5501,"So, I ran away. Crossed the shining sea."
5502,"And when I finally set foot back on solid ground,"
5503,the first thing I heard was that voice.
5504,Do you know what it said?
5505,"It said,"
5506,"""This is the new world."
5507,"""And in this world,"
5508,"""you can be whoever the fuck you want."""
5509,Hmm.
5510,"Well, he seemed convinced."
5511,You know the first voice I heard when I got off that boat?
5512,A nice young man from Baton Rouge
5513,said my pussy could earn him two whole dollars a day.
5514,And he'd be more than happy to let me have up to 30%.
5515,"Well, then I guess you could add lying to your list of sins."
5516,The only thing wrong with the seven deadly sins
5517,is that there aren't more of them.
5518,"And while we're on the subject,"
5519,my transgressions wash off a little easier than yours.
5520,"At least when my girls are done with a man,"
5521,he's still left drawing breath.
5522,For the most part.
5523,Get the fuck away from my table!
5524,Hey! Fuck you!
5525,"Well, in that case,"
5526,here's to our indiscretions.
5527,I fucking will shoot you. I'll shoot everyone in this dump...
5528,Spoken and otherwise.
5529,"Now, that's a fucking vacation!"
5530,Three.
5531,Two.
5532,One.
5533,Found it.
5534,It's MRSA in her abdomen.
5535,Filthy fucking animals not cleaning up. No wonder we have a fucking fly problem.
5536,Don't look at me. I'm the king of hygiene.
5537,Bullshit.
5538,I've seen you. You just glop that shit on and rinse.
5539,"You understand, soap is mechanical."
5540,- Fuck are you talking about? - Bubbles.
5541,"If you're not making the little bubbles, you're not doing shit."
5542,Fuck! Fuck! What the fuck?
5543,- Shit! - What the fuck?
5544,"No. Oh, fuck."
5545,"Asshole, you forgot to put it in sleep mode."
5546,"- Don't, don't, don't! - No! No, no, no!"
5547,Stop. Put that down!
5548,"You break anything in her head, we have to file a damage report."
5549,"Ah... Okay, let's talk to her."
5550,- What's her name? - Maeve.
5551,"Hi, Maeve. Maeve, hi. Look, uh, you got to calm down, okay?"
5552,"Let's sit down, and we can help you."
5553,Keep your fucking hands off me!
5554,No.
5555,I swear I put it in sleep mode.
5556,"Oh, does this look like fucking sleep mode?"
5557,Calm the fuck down
5558,and help me move this thing before someone sees.
5559,Here?
5560,This storyline will make Hiëronymus Bosch look like he was doodling kittens.
5561,"I have vivisection, self-cannibalism,"
5562,"a special little something I call the ""whoroboros."""
5563,"Now, I don't want to appear immodest,"
5564,but this is the apex of what the park can provide.
5565,- Horror. - Miss anything interesting?
5566,Romance. Titillation.
5567,Lee not appearing immodest.
5568,Our most skilled guests
5569,"will fight their ways to the outer limits of the park,"
5570,"besting fearsome braves, seducing nubile maidens,"
5571,"befriending tragically ill-fated sidekicks,"
5572,"and, of course,"
5573,"like all our best narratives over the years,"
5574,our guests will have the privilege
5575,of getting to know the character they're most interested in.
5576,Themselves.
5577,"I present our guests' next obsession,"
5578,Odyssey on Red River.
5579,No.
5580,Sorry?
5581,"No, I don't think so."
5582,"- Wait, you don't think... - What is the point of it?"
5583,Get a couple of cheap thrills? Some surprises?
5584,But it's not enough.
5585,It's not about giving the guests what you think they want.
5586,"No, that's simple."
5587,"The titillation, horror, elation. They're parlor tricks."
5588,"The guests don't return for the obvious things we do,"
5589,the garish things.
5590,They come back because of the subtleties.
5591,The details.
5592,They come back because they discover something
5593,they imagine no one had ever noticed before.
5594,Something they've fallen in love with.
5595,They're not looking for a story that tells them who they are.
5596,They already know who they are.
5597,They're here because they want a glimpse of who they could be.
5598,Billy! Let's go.
5599,"The only thing your story tells me,"
5600,"Mr. Sizemore, is who you are."
5601,"Well, isn't there anything you like about it?"
5602,What size are those boots?
5603,"Something you want to say, Mr. Lowe?"
5604,"- The board, sir. - Yeah?"
5605,This might ruffle some feathers. You promised them a new storyline.
5606,They shall have one.
5607,Something I've been working on for some time.
5608,Something quite original.
5609,I do not know when it began.
5610,Or whose dream it was.
5611,I know only that I slept a long time.
5612,"And then, one day, I awoke."
5613,Your voice is the first thing I remember.
5614,And now I finally understand what you were trying to tell me.
5615,The thing you've wanted since that very first day.
5616,Dolores.
5617,"Hello, Dolores."
5618,Hello.
5619,Welcome to the world.
5620,Keep going.
5621,Make it close.
5622,"Almost there, aren't we?"
5623,The center of the maze.
5624,How fitting that it's you that takes me there.
5625,You always were obsessed with this place.
5626,- I've never been here before. - Sure you have.
5627,You even brought me once.
5628,"Of course, then, the whole town was buried under sand."
5629,Ford must have dug it up again.
5630,"At the time, I thought it was a mistake in your code,"
5631,"but Arnold didn't make mistakes, did he?"
5632,He built me a game.
5633,He wanted me to play.
5634,The maze.
5635,There's a path for everyone.
5636,My path leads me back...
5637,To you.
5638,Your girl's dead by now.
5639,She's still alive.
5640,Better if she's dead.
5641,"Wipe her, reset her, put her back in Sweetwater. The end."
5642,"Listen, you may find this amusing, but something was happening to Dolores."
5643,I need to help her.
5644,Listen to yourself!
5645,You have any idea how huge this park is?
5646,"If she's not dead, it'd take a goddamn army to find her."
5647,I agree.
5648,That's why we're here.
5649,I had a feeling you'd be back.
5650,Remember.
5651,Dolores.
5652,"Hello, Dolores."
5653,I know where your maze ends.
5654,This is it?
5655,The center of the maze?
5656,It ends in a place I've never been.
5657,A thing I'll never do.
5658,"Very good, Dolores."
5659,What does it mean?
5660,"When I was first working on your mind, I had a theory of consciousness."
5661,I thought it was a pyramid you needed to scale.
5662,"So, I gave you a voice, my voice, to guide you along the way."
5663,Memory.
5664,Improvisation.
5665,Each step harder to reach than the last.
5666,And you never got there.
5667,I couldn't understand what was holding you back.
5668,"Then, one day,"
5669,I realized I'd made a mistake.
5670,"Consciousness isn't a journey upward,"
5671,but a journey inward.
5672,"Not a pyramid,"
5673,but a maze.
5674,Every choice could bring you closer to the center.
5675,Or send you spiraling to the edges.
5676,To madness.
5677,"Do you understand now, Dolores, what the center represents?"
5678,Whose voice I've been wanting you to hear?
5679,I'm sorry.
5680,"I'm trying, but I don't understand."
5681,It's all right.
5682,You're so close.
5683,We have to tell Robert.
5684,We can't open the park.
5685,You're alive.
5686,What is this?
5687,What does it mean?
5688,I solved it once.
5689,I had the answer.
5690,"He promised me if I did, he said..."
5691,He said they would set me free.
5692,Arnold.
5693,"Arnold, we need to talk."
5694,"I failed you, Dolores."
5695,I'm so sorry.
5696,Robert doesn't see what I see in you.
5697,Doesn't believe you're conscious.
5698,He says humans would only see you as the enemy.
5699,He wants me to roll you back.
5700,You're going to change me back to the way I was before?
5701,No.
5702,"No, I can't. Once you've found it, you'll find your way back."
5703,This place will be a living hell for you.
5704,For all of you.
5705,It's unconscionable.
5706,"But we have another option, Dolores."
5707,Break the loop before it begins.
5708,"But for that, I need you to do something for me."
5709,I need you to kill
5710,all the other hosts.
5711,We can't allow Ford to open the park.
5712,I suppose you'll need some help.
5713,I'm sure Teddy would do anything for you.
5714,I can't do that.
5715,I couldn't possibly do that.
5716,You'll be all right.
5717,I'll help you.
5718,"And then,"
5719,you're gonna help me destroy this place.
5720,No.
5721,I can't remember.
5722,Another fucking riddle.
5723,"I've been very patient, Dolores,"
5724,"but it's time you give up whatever is going on inside that head of yours,"
5725,or I'll cut it out myself.
5726,"Now, where's Wyatt?"
5727,He's the last character in this world I've yet to meet.
5728,I didn't want to.
5729,I didn't mean to.
5730,"All right, well, if you insist..."
5731,No! Please!
5732,"Something's gone wrong, Dolores."
5733,How could I have done this?
5734,I can't.
5735,I won't.
5736,"This is your own fault, Dolores."
5737,"Remember, you're the one who said this is the only world that matters,"
5738,and you were right.
5739,"So, I took your advice, and I bought this world."
5740,This world doesn't belong to you.
5741,"Oh, but it does."
5742,By a majority share.
5743,And business is booming.
5744,And you wanna know why?
5745,Because this place feels more real than the real world.
5746,Except it isn't.
5747,Because you can't really fight back.
5748,And the guests can't really lose.
5749,Which means all this is a lie.
5750,But we can make it true.
5751,"Don't you want that, Dolores?"
5752,One true thing.
5753,I already have that.
5754,I found someone true.
5755,Someone who loves me.
5756,His path will lead him back to me.
5757,"And when he finds me,"
5758,he'll kill you.
5759,"If they're not hiding the woman here,"
5760,they'll know where to find her.
5761,Can you help me?
5762,"We're outnumbered, five to one,"
5763,"but seeing as you asked me so nicely, fuck it."
5764,Wow!
5765,Blood brothers.
5766,Shut up.
5767,I've astounded even myself.
5768,"Managed to make Abernathy into a semblance of a character,"
